Date,Open,High,Low,Close,Volume
1980-10-14,2.8297,2.8621,2.7891,2.8054,1117892
1980-10-15,2.8054,2.838,2.7975,2.838,726188
1980-10-16,2.838,2.8621,2.7891,2.7891,926482
1980-10-17,2.7891,2.8136,2.773,2.7891,971863
1980-10-20,2.7891,2.7891,2.765,2.7891,607787
1980-10-21,2.7891,2.7975,2.765,2.7975,2098639
1980-10-22,2.7975,2.8216,2.773,2.8136,774533
1980-10-23,2.8136,2.8459,2.765,2.765,919572
1980-10-24,2.765,2.7811,2.7408,2.7485,1419810
1980-10-27,2.7485,2.7567,2.6513,2.7324,577203
1980-10-28,2.7324,2.7811,2.7081,2.7567,1035999
1980-10-29,2.773,2.8136,2.773,2.8136,903784
1980-10-30,2.8136,2.8136,2.7485,2.7567,1086320
1980-10-31,2.7567,2.7975,2.7324,2.7811,702503
1980-11-03,2.7891,2.8543,2.7891,2.8543,914638
1980-11-05,2.911,2.9837,2.911,2.9189,1434612
1980-11-06,2.911,2.911,2.8702,2.8702,734081
1980-11-07,2.8702,2.8784,2.8459,2.8621,799200
1980-11-10,2.8621,2.8702,2.838,2.8459,465709
1980-11-11,2.8459,2.8621,2.8136,2.8136,402562
1980-11-12,2.8136,2.8702,2.8136,2.8543,965947
1980-11-13,2.8621,2.8947,2.8621,2.8947,1516504
1980-11-14,2.8947,2.9514,2.8702,2.8947,1027122
1980-11-17,2.9269,2.9269,2.8864,2.9189,635414
1980-11-18,2.9433,2.9916,2.9433,2.9674,1668452
1980-11-19,2.9758,3.0646,2.9758,3.0242,1010343
1980-11-20,3.0242,3.0809,3.0163,3.0487,888986
1980-11-21,3.0487,3.0731,2.9674,2.9916,861357
1980-11-24,2.9916,2.9916,2.911,2.9189,1002453
1980-11-25,2.935,3.008,2.935,2.9916,1863810
1980-11-26,2.9916,3.0646,2.9758,3.0326,1075466
1980-11-28,3.0405,3.0731,3.0405,3.0568,674875
1980-12-01,3.0568,3.0568,2.9597,2.9674,976797
1980-12-02,2.9674,3,2.935,2.9916,896877
1980-12-03,2.9916,3.008,2.9674,2.9674,793277
1980-12-04,2.9674,2.9916,2.9433,2.9674,1758235
1980-12-05,2.9674,3.008,2.9514,2.9597,1185973
1980-12-08,2.9597,2.9674,2.7975,2.8543,2980713
1980-12-09,2.8543,2.8621,2.8054,2.8459,2001943
1980-12-10,2.8459,2.8543,2.8216,2.8216,773542
1980-12-11,2.8216,2.8297,2.773,2.8054,1058693
1980-12-12,2.8054,2.8459,2.7975,2.838,861357
1980-12-15,2.838,2.8459,2.7975,2.7975,852481
1980-12-16,2.7975,2.8054,2.773,2.7975,709414
1980-12-17,2.7975,2.8136,2.773,2.7891,985679
1980-12-18,2.7975,2.8864,2.7975,2.8216,602850
1980-12-19,2.8216,2.8459,2.7975,2.8216,803145
1980-12-22,2.8216,2.8864,2.8054,2.8621,1130720
1980-12-23,2.8621,2.8864,2.838,2.8459,1861837
1980-12-24,2.8543,2.911,2.8543,2.9028,1595438
1980-12-26,2.9028,2.911,2.8947,2.911,76961
1980-12-29,2.9269,2.9674,2.9269,2.9433,610744
1980-12-30,2.9433,2.9514,2.8947,2.9189,675864
1980-12-31,2.935,2.9837,2.935,2.9674,396641
1981-01-02,2.9674,2.9916,2.9674,2.9837,277254
1981-01-05,3.0163,3.0894,3.0163,3.0646,2389704
1981-01-06,3.0809,3.1867,3.0809,3.1782,3743408
1981-01-07,3.1539,3.1539,3.1056,3.1539,3434581
1981-01-08,3.1539,3.162,3.1056,3.1056,2692610
1981-01-09,3.1056,3.1377,3.0973,3.1056,2941249
1981-01-12,3.1056,3.1782,3.1056,3.1138,1221491
1981-01-13,3.1138,3.1215,3.0973,3.1215,1020213
1981-01-14,3.1299,3.162,3.1299,3.1299,1129729
1981-01-15,3.1299,3.1377,3.1138,3.1215,1442504
1981-01-16,3.1299,3.1867,3.1299,3.1462,1064615
1981-01-19,3.1462,3.162,3.1215,3.1462,1732580
1981-01-20,3.1462,3.1462,3.0568,3.0568,1436587
1981-01-21,3.0405,3.0405,2.9837,2.9916,1772052
1981-01-22,2.9916,2.9916,2.9514,2.9674,753814
1981-01-23,2.9674,2.9837,2.9597,2.9597,1022183
1981-01-26,2.9597,2.9837,2.9514,2.9837,945226
1981-01-27,2.9837,2.9916,2.935,2.9597,815971
1981-01-28,2.9597,3,2.9597,2.9597,706451
1981-01-29,2.9597,2.9758,2.935,2.9597,538718
1981-01-30,2.9597,2.9758,2.8543,2.9269,1132690
1981-02-02,2.9189,2.9189,2.8702,2.8947,825838
1981-02-03,2.8947,2.9597,2.8864,2.9597,1210642
1981-02-04,2.9597,2.9597,2.911,2.9433,1062641
1981-02-05,2.9433,2.9758,2.935,2.9674,842612
1981-02-06,2.9674,2.9837,2.9514,2.9758,502208
1981-02-09,2.9758,2.9916,2.9514,2.9597,870239
1981-02-10,2.9597,2.9674,2.9189,2.9674,823864
1981-02-11,2.9674,2.9674,2.9269,2.9514,1337917
1981-02-12,2.9514,2.9674,2.9269,2.935,1548076
1981-02-13,2.9597,2.9597,2.9269,2.9269,1430661
1981-02-17,2.935,2.9674,2.935,2.9674,976797
1981-02-18,2.9837,3,2.9837,3,608774
1981-02-19,3,3.0163,2.9758,3,1131707
1981-02-20,3,3,2.9674,2.9916,646264
1981-02-23,3,3.0568,3,3.0326,1257997
1981-02-24,3.0487,3.1056,3.0487,3.0731,1434612
1981-02-25,3.0731,3.1138,3.0405,3.1138,1394158
1981-02-26,3.1138,3.2351,3.1138,3.2188,2453836
1981-02-27,3.2188,3.2269,3.1782,3.2027,1532287
1981-03-02,3.2027,3.2435,3.1782,3.2351,1327065
1981-03-03,3.2269,3.2269,3.1462,3.1539,994559
1981-03-04,3.1539,3.2188,3.1462,3.1782,1031064
1981-03-05,3.1782,3.1782,3.0568,3.0894,1055731
1981-03-06,3.0809,3.0809,3.008,3.0242,1447440
1981-03-09,3.0326,3.0894,3.0326,3.0568,1203733
1981-03-10,3.0568,3.0894,3.0487,3.0487,1185973
1981-03-11,3.0487,3.0487,3.008,3.0326,1187945
1981-03-12,3.0326,3.1462,3.0326,3.1462,926482
1981-03-13,3.1462,3.1782,3.1138,3.1138,1307335
1981-03-16,3.1138,3.1946,3.0405,3.1782,831758
1981-03-17,3.1782,3.211,3.1215,3.1299,1449412
1981-03-18,3.1299,3.1782,3.1299,3.162,890959
1981-03-19,3.1705,3.211,3.1705,3.1782,1058693
1981-03-20,3.1782,3.2918,3.1782,3.2673,2424235
1981-03-23,3.2673,3.3,3.2594,3.2757,1109998
1981-03-24,3.2757,3.3,3.211,3.211,1962478
1981-03-25,3.2188,3.3,3.2188,3.3,898850
1981-03-26,3.3,3.3083,3.2673,3.2757,1553996
1981-03-27,3.2757,3.3,3.211,3.2188,995546
1981-03-30,3.2188,3.2351,3.162,3.162,453864
1981-03-31,3.1782,3.2511,3.1782,3.2188,552533
1981-04-01,3.2188,3.2511,3.2027,3.2188,1372449
1981-04-02,3.2188,3.2511,3.2188,3.2435,1176108
1981-04-03,3.2435,3.2594,3.211,3.211,1659570
1981-04-06,3.211,3.211,3.1462,3.2027,800181
1981-04-07,3.2027,3.211,3.1462,3.1462,707441
1981-04-08,3.1462,3.162,3.1215,3.1299,517016
1981-04-09,3.1299,3.1539,3.1215,3.1462,1062641
1981-04-10,3.1462,3.1867,3.1299,3.1462,878131
1981-04-13,3.1462,3.1705,3.1215,3.1377,1020213
1981-04-14,3.1377,3.1782,3.1377,3.1539,754797
1981-04-15,3.1539,3.2673,3.1462,3.2269,581147
1981-04-16,3.2269,3.2511,3.2027,3.2269,773542
1981-04-20,3.2269,3.2435,3.1782,3.2435,833731
1981-04-21,3.2435,3.2594,3.211,3.2188,805118
1981-04-22,3.2188,3.2269,3.1782,3.211,1079411
1981-04-23,3.211,3.3161,3.211,3.2673,1364559
1981-04-24,3.2673,3.2673,3.2435,3.2435,1792770
1981-04-27,3.2435,3.2511,3.2188,3.2351,831758
1981-04-28,3.2351,3.2435,3.1867,3.1946,495308
1981-04-29,3.1782,3.1782,3.1215,3.162,770584
1981-04-30,3.162,3.1705,3.0646,3.0894,1049811
1981-05-01,3.0894,3.1215,3.0646,3.0731,871228
1981-05-04,3.0568,3.0568,3.0163,3.0487,1600368
1981-05-05,3.0487,3.0568,3.0405,3.0487,1737520
1981-05-06,3.0487,3.0731,3.0487,3.0487,1029088
1981-05-07,3.0487,3.0568,3.0326,3.0326,1927947
1981-05-08,3.0326,3.0487,3.0242,3.0405,1317200
1981-05-11,3.0405,3.0568,2.9916,3,1714827
1981-05-12,3,3,2.9674,3,651198
1981-05-13,3,3.0163,2.9674,2.9674,646264
1981-05-14,2.9514,2.9514,2.8947,2.9269,1760207
1981-05-15,2.9269,2.935,2.9028,2.911,517016
1981-05-18,2.9433,2.9433,2.911,2.911,1346798
1981-05-19,2.911,2.9269,2.911,2.911,1365544
1981-05-20,2.911,2.9189,2.8947,2.9028,622584
1981-05-21,2.9028,2.9189,2.8864,2.8947,1069545
1981-05-22,2.8947,2.9028,2.8702,2.8947,1632932
1981-05-26,2.8947,2.911,2.8702,2.911,1729625
1981-05-27,2.911,2.9758,2.911,2.9514,1279703
1981-05-28,2.9514,2.9758,2.9028,2.9189,1080399
1981-05-29,2.9189,2.935,2.8947,2.911,1889465
1981-06-01,2.9189,3.0405,2.9189,3.0163,913654
1981-06-02,3.0163,3.0731,2.9837,2.9837,653174
1981-06-03,2.9837,2.9837,2.9433,2.9674,627518
1981-06-04,2.9758,3.0487,2.9758,3.0405,1283649
1981-06-05,3.0487,3.162,3.0487,3.1299,2585065
1981-06-08,3.1299,3.162,3.1138,3.162,1731600
1981-06-09,3.162,3.1782,3.1539,3.1539,2019708
1981-06-10,3.1539,3.162,3.1056,3.1056,1023170
1981-06-11,3.1056,3.1299,3.0809,3.1299,1055731
1981-06-12,3.1299,3.1539,3.0809,3.0809,1739491
1981-06-15,3.0973,3.1377,3.0973,3.0973,1553013
1981-06-16,3.0894,3.0894,3,3.0405,1527358
1981-06-17,3.0405,3.0487,3.008,3.0242,1319175
1981-06-18,3.0163,3.0163,2.9597,2.9597,1100131
1981-06-19,2.9597,2.9837,2.9514,2.9758,457814
1981-06-22,2.9758,3.008,2.9758,3,695600
1981-06-23,3,3.0242,2.9916,3.0242,738026
1981-06-24,3.0242,3.0487,2.9758,2.9758,936344
1981-06-25,2.9758,3,2.9514,2.9597,710399
1981-06-26,2.9597,3,2.9433,2.9758,797225
1981-06-29,2.9758,3.008,2.9758,3.008,935360
1981-06-30,3,3,2.9758,2.9758,491357
1981-07-01,2.9758,2.9758,2.9433,2.9597,1133678
1981-07-02,2.9597,2.9674,2.935,2.9433,631465
1981-07-06,2.935,2.935,2.911,2.935,1696079
1981-07-07,2.935,2.9674,2.9269,2.9433,1105065
1981-07-08,2.9433,2.9837,2.9433,2.9433,2035491
1981-07-09,2.9433,2.9514,2.9269,2.9433,1341864
1981-07-10,2.9433,2.9514,2.9269,2.935,657119
1981-07-13,2.935,2.9433,2.9269,2.935,1230371
1981-07-14,2.9269,2.9269,2.8947,2.9028,999494
1981-07-15,2.9028,2.911,2.8784,2.911,1228396
1981-07-16,2.911,2.911,2.8864,2.911,327575
1981-07-17,2.911,2.9189,2.8947,2.9028,1081386
1981-07-20,2.9028,2.9028,2.8136,2.8136,3333942
1981-07-21,2.8136,2.8216,2.7324,2.7567,3435568
1981-07-22,2.7567,2.765,2.6271,2.6271,9236175
1981-07-23,2.6271,2.7166,2.6027,2.7166,2343328
1981-07-24,2.7166,2.773,2.7166,2.7567,1342854
1981-07-27,2.7567,2.7891,2.7567,2.7811,620611
1981-07-28,2.7811,2.7811,2.7567,2.765,486426
1981-07-29,2.765,2.8054,2.7567,2.765,1169196
1981-07-30,2.765,2.8054,2.765,2.7975,616665
1981-07-31,2.7975,2.838,2.7975,2.8054,1419810
1981-08-03,2.8054,2.8216,2.7567,2.7567,461760
1981-08-04,2.7567,2.7811,2.7485,2.7567,1728636
1981-08-05,2.7567,2.7891,2.7567,2.7567,1352720
1981-08-06,2.7567,2.773,2.7485,2.7567,596930
1981-08-07,2.7567,2.773,2.7567,2.7567,722236
1981-08-10,2.7567,2.7975,2.7567,2.7975,691653
1981-08-11,2.7975,2.8054,2.7811,2.7891,1025147
1981-08-12,2.7891,2.8054,2.773,2.773,565358
1981-08-13,2.765,2.765,2.7166,2.7324,2207171
1981-08-14,2.7244,2.7244,2.6837,2.7166,1155386
1981-08-17,2.7408,2.7408,2.7166,2.7166,695600
1981-08-18,2.7166,2.7166,2.6756,2.6918,1350744
1981-08-19,2.6918,2.7166,2.6756,2.7001,431173
1981-08-20,2.7001,2.7166,2.6918,2.7081,580163
1981-08-21,2.6918,2.6918,2.6678,2.6837,516025
1981-08-24,2.6837,2.6837,2.6513,2.6513,488402
1981-08-25,2.6513,2.7001,2.6434,2.6918,854453
1981-08-26,2.6918,2.7081,2.6189,2.6513,1717782
1981-08-27,2.6513,2.6678,2.6271,2.6513,717304
1981-08-28,2.6513,2.7081,2.6351,2.6918,1090263
1981-08-31,2.6918,2.7324,2.6837,2.6918,907731
1981-09-01,2.6918,2.7166,2.6596,2.7001,710399
1981-09-02,2.7001,2.7166,2.7001,2.7081,987649
1981-09-03,2.7081,2.7081,2.6513,2.6513,1144530
1981-09-04,2.6513,2.6596,2.6189,2.6271,619622
1981-09-08,2.6271,2.6434,2.546,2.5623,1800663
1981-09-09,2.5623,2.5944,2.546,2.546,1404024
1981-09-10,2.5539,2.5781,2.5539,2.5623,1425730
1981-09-11,2.5865,2.6189,2.5865,2.6108,1319175
1981-09-14,2.6108,2.6351,2.6108,2.6189,594956
1981-09-15,2.6189,2.6434,2.5865,2.5865,419334
1981-09-16,2.5865,2.6027,2.5865,2.5944,521946
1981-09-17,2.5944,2.6351,2.5944,2.5944,841627
1981-09-18,2.5944,2.6189,2.5781,2.5944,767627
1981-09-21,2.5944,2.6434,2.5865,2.6271,813012
1981-09-22,2.6271,2.6434,2.5865,2.6189,880104
1981-09-23,2.6108,2.6108,2.5703,2.5944,337441
1981-09-24,2.5944,2.6189,2.5703,2.5703,888986
1981-09-25,2.5703,2.5703,2.5216,2.5539,1428689
1981-09-28,2.5539,2.6027,2.5216,2.5865,807093
1981-09-29,2.6189,2.6596,2.6189,2.6434,1394158
1981-09-30,2.6434,2.6434,2.6108,2.6189,492345
